OBJECTID,GEOID,STATE,COUNTY,TRACT,NAME,CNTY_FIPS,EACODE,EANAME,B08013EST1,B08013_AVG_TTW,B08303EST1,B08303_30MINUS_TTW,B08303_30MINUS_TTW_PCT,B08303_30TO59_TTW,B08303_30TO59_TTW_PCT,B08303_60PLUS_TTW,B08303_60PLUS_TTW_PCT,B17019EST2,B17019_OWN,B17019_OWN_PCT,B17019_RENT,B17019_RENT_PCT,B17021EST1,B17021EST2,B17021EST2_PCT,B17021_FAM,B17021_FAM_PCT,B17021EST14,B17021EST14_PCT,B19013EST1,B19025EST1,B19113EST1,B19202EST1,B19001_LT15,B19001_LT15_PCT,B19001_15TO25,B19001_15TO25_PCT,B19001_25TO35,B19001_25TO35_PCT,B19001_35TO45,B19001_35TO45_PCT,B19001_45TO60,B19001_45TO60_PCT,B19001EST12,B19001EST12_PCT,B19001EST13,B19001EST13_PCT,B19001EST14,B19001EST14_PCT,B19001EST15,B19001EST15_PCT,B19001_GT150,B19001_GT150_PCT,B23001_CLF,B23001_UE,B23001_UE_PCT,B23001_16TO24,B23001_UE_16TO24,B23001_UE_16TO24_PCT,B23001_25TO64,B23001_UE_25TO64,B23001_UE_25TO64_PCT,B23001_ABOVE64,B23001_UE_ABOVE64,B23001_UE_ABOVE64_PCT,B25014_CROWD,B25014_CROWD_PCT,B25014_NONCROWD_O,B25014_NONCROWD_O_PCT,B25014_MODCROWD_O,B25014_MODCROWD_O_PCT,B25014_SEVCROWD_O,B25014_SEVCROWD_O_PCT,B25014_NONCROWD_R,B25014_NONCROWD_R_PCT,B25014_MODCROWD_R,B25014_MODCROWD_R_PCT,B25014_SEVCROWD_R,B25014_SEVCROWD_R_PCT,B25106_CB,B25106_CB_PCT,B25106_CB_LT35,B25106_CB_LT35_PCT,B25106_CB_GT35,B25106_CB_GT35_PCT,B25106_CB_O_LT35,B25106_CB_O_LT35_PCT,B25106_CB_O_GT35,B25106_CB_O_GT35_PCT,B25106_CB_R_LT35,B25106_CB_R_LT35_PCT,B25106_CB_R_GT35,B25106_CB_R_GT35_PCT,C24010EST1,C24010_MPRO,C24010_MPRO_PCT,C24010_SERVICE,C24010_SERVICE_PCT,C24010_SALES,C24010_SALES_PCT,C24010_FARM,C24010_FARM_PCT,C24010_CEMR,C24010_CEMR_PCT,C24010_PTM,C24010_PTM_PCT,B20004EST1,B20004EST2,B20004EST3,B20004EST4,B20004EST5,B20004EST6,B23006EST1,CIVIL,UNEMP,NILF,B23006EST6,B23006EST6_PCT,B23006EST7,B23006EST7_PCT,B23006EST8,B23006EST8_PCT,B23006EST13,B23006EST13_PCT,B23006EST14,B23006EST14_PCT,B23006EST15,B23006EST15_PCT,B23006EST20,B23006EST20_PCT,B23006EST21,B23006EST21_PCT,B23006EST22,B23006EST22_PCT,B23006EST27,B23006EST27_PCT,B23006EST28,B23006EST28_PCT,B23006EST29,B23006EST29_PCT,B24021EST2,B24021EST17,B24021EST25,B24021EST28,B24021EST29,B24021EST32,Shape__Area,Shape__Length
9301,48439111019,48,439,111019,Census Tract 1110.19,48439,,,54080.0,24.48,2209,1338,60.57,750,33.95,121,5.48,90,14,15.56,76,84.44,4788,397,8.29,313,78.84,84,21.16,59035.0,96578500.0,59454.0,47703.0,155,10.77,62,4.31,78,5.42,149,10.35,355,24.67,151,10.49,252,17.51,95,6.6,40,2.78,102,7.09,2489,230,9.24,132,89,18.16,2374,141,7.31,759,0,0.0,67,4.66,972,93.55,67,6.45,0,0.0,400,100.0,0,0.0,0,0.0,323,22.45,236,80.0,87,7.6,115,66.09,87,10.06,121,100.0,0,0.0,2259,292,12.93,437,19.34,375,16.6,75,3.32,319,14.12,220,9.74,37010.0,26250.0,49041.0,31969.0,40878.0,56313.0,2374,1787,141,446,517,28.93,67,47.52,41,9.19,400,22.38,0,0.0,311,69.73,453,25.35,74,52.48,80,17.94,417,23.34,0,0.0,14,3.14,44141.0,,,38669.0,53902.0,32299.0,8524567.32421875,15437.9537725993
9302,48439111318,48,439,111318,Census Tract 1113.18,48439,,,78995.0,35.55,2222,936,42.12,1005,45.23,281,12.65,66,66,100.0,0,0.0,5965,511,8.57,425,83.17,86,16.83,83158.0,197681400.0,86855.0,,228,11.45,64,3.21,129,6.48,123,6.17,124,6.22,247,12.4,373,18.72,219,10.99,150,7.53,335,16.82,2569,296,11.52,633,65,21.04,3253,231,10.61,690,0,0.0,40,2.01,1589,100.0,0,0.0,0,0.0,363,90.07,40,9.93,0,0.0,426,21.39,324,89.5,102,6.49,275,87.86,82,6.54,49,100.0,20,6.31,2273,583,25.65,146,6.42,471,20.72,52,2.29,269,11.83,251,11.04,65352.0,61045.0,40156.0,70439.0,77957.0,78875.0,3253,1947,231,1075,105,5.39,0,0.0,348,32.37,664,34.1,28,12.12,483,44.93,703,36.11,62,26.84,150,13.95,475,24.4,141,61.04,94,8.74,81842.0,,,37337.0,80889.0,80806.0,26057999.1953125,21018.9246344875
9303,48439111554,48,439,111554,Census Tract 1115.54,48439,,,72690.0,29.17,2492,1286,51.61,919,36.88,287,11.52,59,0,0.0,59,100.0,4235,283,6.68,265,93.64,18,6.36,106969.0,134655900.0,107159.0,71528.0,77,5.98,11,0.85,85,6.6,0,0.0,134,10.41,144,11.19,92,7.15,408,31.7,131,10.18,205,15.93,2548,11,0.43,233,0,0.0,2481,11,0.54,287,0,0.0,8,0.62,1060,99.25,8,0.75,0,0.0,219,100.0,0,0.0,0,0.0,268,20.82,123,79.35,145,13.02,64,66.67,109,11.43,59,100.0,36,22.5,2537,623,24.56,118,4.65,627,24.71,44,1.73,287,11.31,250,9.85,46446.0,24200.0,46436.0,44884.0,64943.0,85880.0,2481,2022,11,448,183,9.05,0,0.0,104,23.21,427,21.12,0,0.0,113,25.22,980,48.47,11,100.0,175,39.06,432,21.36,0,0.0,56,12.5,76024.0,,,33616.0,43646.0,46277.0,3651716.6484375,9235.94263116704
9304,48439113940,48,439,113940,Census Tract 1139.40,48439,,,100240.0,32.03,3130,1324,42.3,1546,49.39,260,8.31,0,0,0.0,0,0.0,7147,12,0.17,12,100.0,0,0.0,127447.0,297397700.0,129125.0,51224.0,0,0.0,0,0.0,0,0.0,159,6.93,222,9.68,106,4.62,381,16.61,233,10.16,502,21.88,691,30.12,3691,102,2.76,643,56,13.76,3837,46,1.42,288,0,0.0,0,0.0,2014,100.0,0,0.0,0,0.0,280,100.0,0,0.0,0,0.0,356,15.52,0,0.0,356,15.52,0,0.0,260,12.91,0,0.0,96,34.29,3589,1558,43.41,250,6.97,541,15.07,73,2.03,144,4.01,212,5.91,72500.0,,56125.0,66500.0,82525.0,70927.0,3837,3193,46,598,14,0.44,0,0.0,50,8.36,335,10.49,0,0.0,83,13.88,812,25.43,0,0.0,286,47.83,2032,63.64,46,100.0,179,29.93,82506.0,34417.0,,48021.0,,,7222974.65234375,12428.2697399321
9305,48439111023,48,439,111023,Census Tract 1110.23,48439,,,113965.0,28.84,3951,2094,53.0,1547,39.15,310,7.85,189,45,23.81,144,76.19,7132,602,8.44,602,100.0,0,0.0,80646.0,164142200.0,80563.0,81641.0,45,2.22,144,7.11,47,2.32,131,6.47,304,15.01,192,9.48,545,26.91,225,11.11,264,13.04,128,6.32,4062,16,0.39,513,0,0.0,3825,16,0.48,210,0,0.0,11,0.54,1615,99.32,0,0.0,11,0.68,399,100.0,0,0.0,0,0.0,673,33.23,236,100.0,437,24.43,92,100.0,280,18.25,144,100.0,157,61.57,4046,626,15.47,687,16.98,1035,25.58,92,2.27,441,10.9,203,5.02,37127.0,,35973.0,35896.0,44653.0,91350.0,3825,3330,16,435,523,15.71,0,0.0,40,9.2,925,27.78,0,0.0,244,56.09,1030,30.93,16,100.0,43,9.89,852,25.59,0,0.0,108,24.83,55912.0,,,31420.0,45689.0,,4125297.046875,9899.46339297317
9324,48439104602,48,439,104602,Census Tract 1046.02,48439,,,52760.0,27.04,1951,1256,64.38,558,28.6,137,7.02,256,125,48.83,131,51.17,4658,1324,28.42,1260,95.17,64,4.83,43867.0,69549200.0,41917.0,41645.0,68,5.56,119,9.73,169,13.82,270,22.08,245,20.03,120,9.81,61,4.99,0,0.0,87,7.11,84,6.87,2194,185,8.43,376,61,14.59,2476,124,7.21,206,0,0.0,51,4.17,627,94.57,19,2.87,17,2.56,545,97.32,15,2.68,0,0.0,326,26.66,225,64.47,101,12.45,103,49.28,35,7.71,122,87.14,66,18.49,2009,142,7.07,340,16.92,220,10.95,36,1.79,517,25.73,144,7.17,30008.0,28763.0,30840.0,34375.0,,,2476,1596,124,756,704,44.11,41,33.06,270,35.71,472,29.57,0,0.0,308,40.74,403,25.25,83,66.94,121,16.01,17,1.07,0,0.0,57,7.54,33676.0,,,33792.0,30591.0,,3327923.671875,7913.92588062832
9325,48439121612,48,439,121612,Census Tract 1216.12,48439,,,33230.0,25.06,1326,829,62.52,481,36.27,16,1.21,83,83,100.0,0,0.0,3059,447,14.61,398,89.04,49,10.96,86275.0,147422600.0,90000.0,45395.0,73,5.77,76,6.0,154,12.16,45,3.55,70,5.53,132,10.43,194,15.32,78,6.16,101,7.98,343,27.09,1661,70,4.21,258,51,15.18,1321,0,0.0,909,19,9.79,19,1.5,1183,98.42,19,1.58,0,0.0,64,100.0,0,0.0,0,0.0,314,24.8,168,66.14,146,15.16,144,62.61,121,13.11,24,100.0,25,62.5,1591,594,37.34,134,8.42,299,18.79,15,0.94,19,1.19,16,1.01,44844.0,,,,39609.0,122647.0,1321,1131,0,190,39,3.45,0,0.0,0,0.0,308,27.23,0,0.0,17,8.95,280,24.76,0,0.0,52,27.37,504,44.56,0,0.0,121,63.68,105924.0,,,55167.0,,,6041910.47265625,13287.7465212723
9326,48439106525,48,439,106525,Census Tract 1065.25,48439,,,39190.0,39.39,995,406,40.8,384,38.59,205,20.6,0,0,0.0,0,0.0,2021,21,1.04,16,76.19,5,23.81,129167.0,69569900.0,135152.0,68750.0,0,0.0,10,1.6,89,14.22,14,2.24,37,5.91,35,5.59,92,14.7,22,3.51,151,24.12,176,28.12,1066,0,0.0,50,0,0.0,1078,0,0.0,346,0,0.0,0,0.0,595,100.0,0,0.0,0,0.0,31,100.0,0,0.0,0,0.0,151,24.12,89,100.0,62,11.76,89,100.0,62,12.25,0,0.0,0,0.0,1066,351,32.93,51,4.78,272,25.52,81,7.6,22,2.06,40,3.75,57656.0,,41369.0,47000.0,59063.0,90050.0,1078,876,0,202,37,4.22,0,0.0,0,0.0,125,14.27,0,0.0,60,29.7,267,30.48,0,0.0,131,64.85,447,51.03,0,0.0,11,5.45,90410.0,,,54279.0,,,2072073.765625,7842.39082152963
9394,48439104604,48,439,104604,Census Tract 1046.04,48439,,,33900.0,28.58,1186,611,51.52,439,37.02,136,11.47,178,34,19.1,144,80.9,3328,822,24.7,754,91.73,68,8.27,38851.0,49835400.0,41402.0,25729.0,170,16.82,151,14.94,124,12.27,130,12.86,141,13.95,101,9.99,97,9.59,60,5.93,13,1.29,24,2.37,1369,110,8.04,257,44,18.03,1529,59,5.4,265,7,21.21,76,7.52,415,95.62,19,4.38,0,0.0,520,90.12,54,9.36,3,0.52,372,36.8,322,80.9,50,9.03,74,55.22,5,1.74,248,93.94,45,16.92,1259,33,2.62,221,17.55,161,12.79,20,1.59,131,10.41,147,11.68,28546.0,27074.0,26940.0,30125.0,,36339.0,1529,1033,59,437,402,38.92,0,0.0,176,40.27,303,29.33,52,88.14,230,52.63,171,16.55,7,11.86,31,7.09,157,15.2,0,0.0,0,0.0,41613.0,,,32188.0,53929.0,59861.0,4715576.78125,11353.6899028399
9403,48439114204,48,439,114204,Census Tract 1142.04,48439,,,85645.0,33.32,2570,875,34.05,1395,54.28,300,11.67,155,0,0.0,155,100.0,6604,663,10.04,571,86.12,92,13.88,71359.0,239114300.0,83214.0,57723.0,172,6.78,160,6.31,119,4.69,196,7.73,318,12.53,325,12.81,471,18.57,271,10.68,130,5.12,375,14.78,2960,89,3.01,236,14,9.03,3540,75,2.9,1087,0,0.0,136,5.36,1802,96.57,64,3.43,0,0.0,599,89.27,72,10.73,0,0.0,592,23.33,286,63.41,306,14.67,49,89.09,237,13.09,237,59.85,69,25.09,2871,862,30.02,379,13.2,525,18.29,48,1.67,277,9.65,131,4.56,51966.0,18875.0,42875.0,41718.0,72269.0,76250.0,3540,2510,75,894,55,2.19,0,0.0,80,8.95,518,20.64,41,54.67,195,21.81,1135,45.22,34,45.33,476,53.24,802,31.95,0,0.0,143,16.0,77230.0,66830.0,,50625.0,53558.0,75474.0,18391690.2851563,20850.0733764482
