GEOID,median_home_value,median_home_value_owner,median_gross_rent_x,median_year_built,median_hh_income,monthly_owner_cost,median_gross_rent_y,avg_housing_cost,ht_cost_very_low_income,ht_cost_low_income,ht_cost_moderate_income,affordability_pctile_very_low,affordability_pctile_low,affordability_pctile_moderate,lmi_population,total_population,lmi_pct,hh_at_30pct_ami,hh_at_50pct_ami,hh_at_80pct_ami,cost_burdened_30pct_ami,cost_burdened_50pct_ami,cost_burdened_80pct_ami,affordable_units_30pct_ami,affordable_units_50pct_ami
48439102000,529800.0,527800.0,1485.0,2012.0,80779.0,2314.0,1554.0,1683.414859,46.73250105,92.70728375,53.00892666,33.96419023,7.900591716,20.84155161,565.0,905.0,62.43,405.0,505.0,855.0,265.0,360.0,685.0,30.0,34.0
48439102100,,,,,61863.0,2337.0,891.0,1535.24183,49.35681987,103.3666644,57.66612273,49.38966352,12.1664488,30.34527959,2165.0,5320.0,40.7,,,,,,,,
48439102101,437800.0,438900.0,1120.0,1980.0,,,,,,,,,,,,,,70.0,90.0,190.0,25.0,45.0,115.0,0.0,0.0
48439102102,243500.0,240600.0,859.0,1968.0,,,,,,,,,,,,,,285.0,405.0,650.0,160.0,275.0,340.0,120.0,275.0
48439102201,387900.0,453800.0,943.0,1968.0,64955.0,1615.0,966.0,1434.94617,52.44170049,111.4476399,61.50555314,47.86312399,5.852311939,26.01214631,1450.0,3585.0,40.45,155.0,360.0,530.0,90.0,230.0,320.0,4.0,44.0
48439102202,535000.0,495100.0,950.0,1963.0,89013.0,2381.0,925.0,1744.060225,51.04282956,105.3531598,59.02248583,38.77246856,5.777895433,20.84189279,655.0,2650.0,24.72,85.0,130.0,460.0,85.0,125.0,385.0,0.0,35.0
48439102301,153900.0,202300.0,843.0,1963.0,32656.0,1094.0,694.0,838.8963929,47.02343248,100.3491792,55.2114461,76.45218726,17.5637759,45.84489639,1940.0,3130.0,61.98,245.0,550.0,885.0,160.0,385.0,630.0,100.0,340.0
48439102302,94000.0,98800.0,912.0,1958.0,40351.0,887.0,873.0,881.1558974,49.22888853,107.9143936,58.69183884,67.96912821,9.281641026,36.29882051,3225.0,4795.0,67.26,420.0,740.0,1175.0,285.0,455.0,560.0,0.0,245.0
48439102401,272300.0,287300.0,979.0,1993.0,63067.0,1625.0,1132.0,1359.358162,49.09850441,103.1112295,57.21858794,48.46187709,12.78858954,31.91611199,1475.0,4120.0,35.8,310.0,665.0,1015.0,240.0,580.0,749.0,40.0,255.0
48439102402,364200.0,365000.0,983.0,1980.0,80170.0,2113.0,1091.0,1899.544304,52.61445357,108.4589941,60.62267041,35.11926864,4.939662447,12.13649789,1465.0,4510.0,32.48,105.0,215.0,355.0,90.0,180.0,250.0,0.0,15.0
48439102500,85400.0,83100.0,524.0,1962.0,19161.0,851.0,686.0,785.8649722,48.30094388,100.3457842,55.97527435,90.67206778,28.8101668,61.58061954,2465.0,3400.0,72.5,430.0,700.0,1075.0,260.0,340.0,455.0,100.0,295.0
48439102601,150700.0,170300.0,851.0,1972.0,43920.0,1041.0,918.0,957.6508227,46.37395487,97.18404176,54.05203672,70.29981718,7.86301036,30.77117611,1960.0,3265.0,60.03,250.0,710.0,1200.0,185.0,465.0,604.0,10.0,195.0
48439102602,187300.0,221100.0,986.0,1952.0,58214.0,1582.0,979.0,1353.868821,49.4787906,100.2908376,56.73971368,51.56987748,7.914321926,23.78168568,2455.0,3665.0,66.98,165.0,330.0,620.0,145.0,205.0,340.0,20.0,150.0
48439102700,317100.0,335400.0,953.0,1944.0,72798.0,1833.0,958.0,1463.691769,50.47727156,103.7487359,58.40622768,43.57863398,6.008172796,22.74722709,855.0,3260.0,26.23,150.0,315.0,545.0,115.0,270.0,390.0,30.0,105.0
48439102800,,,,,113529.0,2155.0,930.0,1858.09322,52.71005971,101.1138502,58.76884516,24.50361582,1.720677966,11.81847458,270.0,1435.0,18.82,,,,,,,,
48439103500,88700.0,,675.0,1956.0,26250.0,867.0,650.0,753.1454545,47.33188297,101.8674279,55.87561684,80.77341991,21.52675325,58.3525974,4030.0,5135.0,78.48,390.0,680.0,985.0,210.0,405.0,409.0,55.0,150.0
48439103601,47200.0,59200.0,514.0,1969.0,15063.0,902.0,611.0,700.3259494,45.33272897,102.1380289,54.73198421,92.15147679,42.12742616,70.5685654,2150.0,2355.0,91.3,445.0,610.0,700.0,260.0,360.0,375.0,285.0,445.0
48439103602,78900.0,100000.0,722.0,1958.0,33015.0,985.0,1077.0,1009.996226,50.00584284,104.4069408,57.96553672,73.54582809,12.52930818,48.20830189,1265.0,2355.0,53.72,290.0,460.0,615.0,185.0,239.0,268.0,30.0,135.0
48439103701,88300.0,101900.0,632.0,1957.0,25692.0,720.0,792.0,751.7246127,47.98765113,105.6990149,57.35643718,80.14331612,24.81239243,57.45060241,3230.0,3860.0,83.68,305.0,560.0,1095.0,130.0,210.0,220.0,30.0,210.0
48439103702,73700.0,88400.0,789.0,1963.0,23125.0,684.0,890.0,768.4181601,48.74507875,105.9898357,57.78476948,86.75244922,23.72473118,57.3223417,2330.0,3115.0,74.8,240.0,450.0,745.0,125.0,250.0,300.0,0.0,150.0
48439103800,104000.0,115700.0,748.0,1974.0,17147.0,774.0,515.0,646.6311713,47.01187161,100.8306486,55.43219016,93.64040013,39.81026137,74.0017425,2890.0,3405.0,84.88,375.0,670.0,965.0,205.0,420.0,530.0,190.0,420.0
48439104100,279300.0,289600.0,881.0,0.0,71250.0,1648.0,855.0,1292.294597,49.00854302,100.9668265,56.84677436,43.16595115,13.71902295,26.36032568,1820.0,3745.0,48.6,155.0,315.0,395.0,89.0,159.0,208.0,4.0,129.0
48439104201,,,,,89028.0,2820.0,1044.0,2321.834372,53.58580813,109.831686,61.49308062,33.79976254,4.063401603,15.89643811,685.0,3045.0,22.5,,,,,,,,
48439104202,379100.0,409100.0,1024.0,1956.0,59272.0,1948.0,1012.0,1581.445972,50.91804271,109.2585382,60.05959338,52.14800262,13.4119188,28.15880812,1320.0,3155.0,41.84,185.0,250.0,555.0,140.0,205.0,335.0,10.0,80.0
48439104203,,839800.0,1153.0,2002.0,,,,,,,,,,,,,,40.0,50.0,60.0,10.0,20.0,20.0,0.0,0.0
48439104204,582300.0,576800.0,1088.0,1946.0,,,,,,,,,,,,,,75.0,105.0,230.0,65.0,100.0,165.0,0.0,65.0
48439104300,,,,,38684.0,2300.0,1142.0,1626.081967,50.89349681,108.3092299,59.86761192,59.02422587,27.81785064,42.89840619,2665.0,5175.0,51.5,,,,,,,,
48439104301,327300.0,291300.0,1224.0,2001.0,,,,,,,,,,,,,,620.0,750.0,805.0,460.0,540.0,560.0,15.0,250.0
48439104302,476600.0,532300.0,1340.0,2000.0,,,,,,,,,,,,,,230.0,335.0,460.0,175.0,275.0,350.0,0.0,15.0
48439104400,260100.0,317300.0,1016.0,1943.0,50521.0,1461.0,708.0,1178.892553,50.06565694,100.5001241,57.03452658,59.63388289,10.80659466,33.5591245,3550.0,5710.0,62.17,285.0,540.0,1035.0,275.0,410.0,650.0,10.0,285.0
48439104502,77200.0,185700.0,678.0,1952.0,28887.0,851.0,734.0,788.8566392,46.70536977,98.21676008,54.44179264,82.40258519,12.58190364,54.58366627,2655.0,3330.0,79.73,320.0,430.0,685.0,140.0,195.0,240.0,30.0,155.0
48439104503,78000.0,102000.0,761.0,1951.0,37188.0,1005.0,794.0,916.6996149,48.16249195,101.0670452,56.09790687,78.95113393,13.03311938,43.07086008,1630.0,2350.0,69.36,195.0,360.0,640.0,110.0,179.0,189.0,0.0,34.0
48439104504,95000.0,79000.0,480.0,1977.0,25271.0,865.0,632.0,735.4471204,47.61191665,103.6859579,56.61809851,89.45863874,14.31204188,60.3904712,2610.0,2855.0,91.42,345.0,510.0,715.0,235.0,320.0,335.0,165.0,335.0
48439104505,87000.0,102700.0,784.0,1959.0,24958.0,861.0,763.0,810.0864714,47.28970074,104.4150347,56.67789863,78.86271502,18.66443515,56.67977685,1820.0,2855.0,63.75,375.0,890.0,1340.0,245.0,510.0,630.0,45.0,199.0
48439104601,93200.0,118000.0,707.0,1960.0,39250.0,772.0,791.0,778.9813953,49.3552151,105.5609031,58.11781449,75.06747287,14.50418605,42.24306977,2920.0,3740.0,78.07,325.0,645.0,1195.0,285.0,354.0,379.0,0.0,135.0
48439104602,68700.0,65900.0,686.0,1963.0,38098.0,936.0,782.0,878.2210526,50.01702145,109.6883295,59.59612584,83.05674185,6.330827068,36.0412782,3025.0,4475.0,67.6,215.0,405.0,905.0,140.0,250.0,325.0,0.0,110.0
48439104603,76300.0,85000.0,697.0,1971.0,37592.0,858.0,830.0,847.0386521,49.49361427,109.4990121,59.29590141,78.83283779,10.72745292,46.41526264,2630.0,3420.0,76.9,245.0,460.0,885.0,140.0,170.0,205.0,35.0,180.0
48439104604,69900.0,68000.0,719.0,1981.0,25882.0,751.0,788.0,772.8878601,46.87772934,106.8183871,57.14068192,81.21742112,28.32839506,55.72376543,1960.0,2555.0,76.71,295.0,505.0,700.0,230.0,345.0,370.0,45.0,205.0
48439104605,110600.0,115300.0,839.0,1970.0,34640.0,991.0,774.0,911.0526316,49.4807679,106.3141967,58.25690226,79.62304527,19.29876543,44.65438596,2335.0,4070.0,57.37,560.0,810.0,1110.0,490.0,630.0,715.0,75.0,390.0
48439104701,73100.0,75800.0,578.0,1952.0,34953.0,781.0,811.0,794.9294504,47.83566392,102.3972344,56.45130167,82.67169811,7.020836751,41.87268253,3150.0,4220.0,74.64,405.0,590.0,1010.0,325.0,405.0,405.0,15.0,340.0
